primitive,log_size,size,gpu_ms,cpu_ms,speedup,gpu_device,cpu_threads,solo,loadavg
msm,16,65536,74.669,60.030,0.804,gfx1151,32,true,7.04
msm,18,262144,230.824,209.381,0.907,gfx1151,32,true,7.04
msm,20,1048576,804.318,851.754,1.059,gfx1151,32,true,7.04
msm,22,4194304,2641.489,3204.013,1.213,gfx1151,32,true,7.04
fft,16,65536,1.453,6.899,4.749,gfx1151,32,true,7.04
fft,18,262144,7.760,24.098,3.105,gfx1151,32,true,7.04
fft,20,1048576,27.157,104.034,3.831,gfx1151,32,true,7.04
fft,22,4194304,90.217,500.942,5.553,gfx1151,32,true,7.04
fft,24,16777216,360.132,1847.881,5.131,gfx1151,32,true,7.04
