condition,ngl,weights_gb,peak_vram_gb,peak_gtt_gb,peak_gpu_gb,prefill_tps,gen_tps
full_igpu,99,54.03,56.11,0.02,56.13,496.46,4.04
cap_32gb,34,54.03,31.83,0.03,31.85,375.56,2.78
