elapsed_s,power_w,gpu_use_pct,vram_used_mb,vram_total_mb
51.594,128.013,99.0,1924.26171875,32768.0
51.975,131.063,99.0,1936.24609375,32768.0
52.384,133.058,99.0,1953.76953125,32768.0
52.79,136.022,99.0,1960.92578125,32768.0
53.233,137.037,99.0,1968.19140625,32768.0
53.791,137.039,99.0,1989.734375,32768.0
54.205,137.077,99.0,2002.015625,32768.0
54.596,139.012,99.0,2010.0,32768.0
54.981,137.088,99.0,2028.21875,32768.0
55.359,131.005,99.0,2038.3515625,32768.0
55.76,126.002,99.0,2056.57421875,32768.0
56.143,125.068,99.0,2062.8359375,32768.0
56.524,130.017,100.0,2047.46875,32768.0
56.904,133.021,100.0,2059.4609375,32768.0
57.288,135.012,100.0,2071.4609375,32768.0
57.66,139.028,100.0,2078.62890625,32768.0
58.058,139.068,100.0,2090.625,32768.0
58.45,139.091,100.0,2097.78515625,32768.0
58.834,140.006,100.0,2082.421875,32768.0
59.208,139.07,100.0,2094.41015625,32768.0
59.592,140.014,100.0,2098.8984375,32768.0
59.971,140.013,100.0,2106.05078125,32768.0
60.353,140.004,100.0,2109.21484375,32768.0
60.744,140.011,100.0,2121.21484375,32768.0
61.118,137.078,100.0,2133.21484375,32768.0
61.515,133.059,100.0,2145.22265625,32768.0
61.907,129.033,100.0,2213.67578125,32768.0
62.286,128.048,100.0,1829.73828125,32768.0
62.71,133.034,99.0,1841.73828125,32768.0
63.112,135.047,99.0,1853.73828125,32768.0
63.512,136.044,99.0,1861.7421875,32768.0
63.942,136.005,99.0,1877.7265625,32768.0
64.353,136.056,99.0,1921.59765625,32768.0
64.777,136.034,99.0,1933.609375,32768.0
65.205,137.044,99.0,1941.58203125,32768.0
65.609,140.075,99.0,1963.6015625,32768.0
66.061,141.0,99.0,1975.59375,32768.0
66.5,139.061,99.0,1989.6015625,32768.0
66.928,139.037,99.0,2001.58984375,32768.0
67.33,138.076,99.0,2013.5859375,32768.0
67.722,139.028,99.0,1993.4765625,32768.0
68.131,139.017,99.0,2005.46484375,32768.0
68.543,136.095,99.0,2017.47265625,32768.0
68.947,136.045,99.0,2029.48046875,32768.0
69.378,136.056,99.0,2041.47265625,32768.0
69.813,136.025,99.0,2053.47265625,32768.0
70.22,134.043,99.0,2065.46484375,32768.0
70.6,127.023,99.0,2041.12890625,32768.0
70.989,123.012,99.0,2053.1171875,32768.0
71.387,124.05,99.0,2062.23046875,32768.0
71.757,129.008,100.0,2019.46875,32768.0
72.14,132.007,100.0,2031.48046875,32768.0
72.515,134.042,100.0,2043.43359375,32768.0
72.895,136.002,100.0,2051.44921875,32768.0
73.268,136.083,100.0,2063.44921875,32768.0
73.645,137.097,100.0,2071.4453125,32768.0
74.024,138.062,100.0,2083.44921875,32768.0
74.406,138.079,100.0,2147.4375,32768.0
74.783,139.003,100.0,2159.44140625,32768.0
75.154,139.003,100.0,2167.4375,32768.0
75.528,139.027,100.0,2183.40625,32768.0
75.917,139.06,100.0,2191.3984375,32768.0
76.295,137.054,100.0,2207.61328125,32768.0
76.674,131.039,100.0,2234.28515625,32768.0
77.061,126.092,100.0,2250.32421875,32768.0
77.445,128.052,100.0,1822.6328125,32768.0
77.817,133.066,100.0,1849.7109375,32768.0
78.198,136.086,100.0,1857.70703125,32768.0
78.594,138.069,100.0,1869.703125,32768.0
78.984,139.075,100.0,1880.67578125,32768.0
79.363,141.0,100.0,1892.67578125,32768.0
79.744,141.049,100.0,1900.375,32768.0
80.13,141.09,100.0,1908.12109375,32768.0
80.502,139.073,100.0,1885.71484375,32768.0
80.912,141.055,100.0,1902.18359375,32768.0
81.285,139.012,100.0,1914.1796875,32768.0
81.661,137.036,100.0,1918.17578125,32768.0
82.036,138.043,100.0,1930.16015625,32768.0
82.414,134.023,100.0,1926.6875,32768.0
82.793,129.061,100.0,1932.9140625,32768.0
83.223,122.042,100.0,1946.92578125,32768.0
83.618,121.055,99.0,1954.93359375,32768.0
84.003,123.034,99.0,1966.92578125,32768.0
84.436,124.003,99.0,2001.6015625,32768.0
84.829,125.081,99.0,2022.734375,32768.0
85.235,125.044,99.0,2026.96875,32768.0
85.718,128.002,99.0,2038.96875,32768.0
86.148,128.027,99.0,2046.96875,32768.0
86.587,128.077,99.0,2048.72265625,32768.0
86.982,129.082,99.0,2060.73046875,32768.0
87.39,130.031,99.0,2068.73046875,32768.0
87.791,130.028,99.0,2080.7265625,32768.0
88.237,131.052,99.0,2087.1796875,32768.0
88.637,131.008,99.0,2145.12890625,32768.0
89.052,131.015,99.0,2153.10546875,32768.0
89.425,130.099,99.0,2165.10546875,32768.0
89.828,129.088,99.0,2177.11328125,32768.0
90.268,129.03,99.0,2185.10546875,32768.0
90.664,128.046,99.0,2179.13671875,32768.0
91.039,125.02,99.0,2187.12890625,32768.0
91.428,119.089,99.0,2199.12890625,32768.0
91.831,117.047,99.0,2207.12890625,32768.0
92.223,119.067,99.0,2203.12890625,32768.0
92.627,126.077,99.0,1857.19140625,32768.0
93.09,130.002,99.0,1869.18359375,32768.0
93.488,131.066,99.0,1881.17578125,32768.0
93.898,131.048,99.0,1889.18359375,32768.0
94.32,131.084,99.0,1901.171875,32768.0
94.723,132.049,99.0,1885.796875,32768.0
95.154,132.008,99.0,1946.75390625,32768.0
95.586,131.082,99.0,1958.7265625,32768.0
95.999,134.073,99.0,1970.703125,32768.0
96.436,135.081,99.0,1982.6953125,32768.0
96.839,137.024,99.0,1990.68359375,32768.0
97.235,136.093,99.0,2002.6953125,32768.0
97.626,136.07,99.0,2005.1640625,32768.0
98.043,135.075,99.0,2007.109375,32768.0
98.456,133.022,99.0,2019.10546875,32768.0
98.858,133.034,99.0,2017.98828125,32768.0
99.285,132.059,99.0,2029.98046875,32768.0
99.673,127.07,99.0,2039.97265625,32768.0
100.059,122.06,99.0,2047.9765625,32768.0
100.459,118.06,99.0,2059.97265625,32768.0
100.831,119.064,99.0,2059.4765625,32768.0
101.208,119.088,99.0,2071.5625,32768.0
101.603,120.007,99.0,2054.640625,32768.0
102.042,120.018,99.0,2066.62890625,32768.0
102.416,118.016,99.0,2094.23828125,32768.0
102.817,117.008,99.0,2106.45703125,32768.0
103.212,114.047,99.0,2118.20703125,32768.0
103.633,118.058,99.0,2115.078125,32768.0
104.034,114.065,100.0,2127.0625,32768.0
104.416,117.029,100.0,2131.87109375,32768.0
104.796,119.076,99.0,2139.87890625,32768.0
105.176,119.067,99.0,2149.79296875,32768.0
105.566,121.023,99.0,2157.8046875,32768.0
105.954,117.014,99.0,2173.79296875,32768.0
106.33,119.03,99.0,2181.78515625,32768.0
106.723,117.013,99.0,2187.7734375,32768.0
107.113,120.05,100.0,2201.765625,32768.0
107.503,117.096,100.0,1825.86328125,32768.0
107.887,120.04,100.0,1837.85546875,32768.0
108.291,125.079,100.0,1845.8515625,32768.0
108.711,119.036,99.0,1855.86328125,32768.0
109.089,114.004,99.0,1863.8515625,32768.0
109.476,119.068,100.0,1866.84765625,32768.0
109.853,119.06,99.0,1875.69921875,32768.0
110.232,118.029,99.0,1887.69140625,32768.0
110.608,122.043,99.0,1899.671875,32768.0
111.029,121.005,100.0,1980.9765625,32768.0
111.412,122.053,100.0,1992.9765625,32768.0
111.787,125.058,99.0,2000.9765625,32768.0
112.17,127.0,100.0,2008.9765625,32768.0
112.54,122.019,100.0,2018.9765625,32768.0
113.006,122.037,99.0,2030.9765625,32768.0
113.449,124.055,100.0,2036.9765625,32768.0
113.889,122.059,99.0,2044.9765625,32768.0
114.268,116.077,99.0,2056.96484375,32768.0
114.648,121.098,99.0,2050.875,32768.0
115.056,123.069,99.0,2062.8828125,32768.0
115.441,117.025,99.0,2074.875,32768.0
115.828,121.073,97.0,2079.35546875,32768.0
116.225,127.078,98.0,2095.34765625,32768.0
116.894,125.022,98.0,2077.96484375,32768.0
117.285,124.067,99.0,2086.1328125,32768.0
117.673,124.095,99.0,2098.14453125,32768.0
118.054,124.098,99.0,2106.1328125,32768.0
118.434,125.09,99.0,2101.8828125,32768.0
118.813,124.015,99.0,2117.84765625,32768.0
119.378,121.0,99.0,2129.84375,32768.0
119.757,122.006,99.0,2141.8203125,32768.0
120.172,120.019,99.0,2149.84765625,32768.0
120.561,129.006,99.0,2161.84375,32768.0
121.004,137.019,99.0,2173.82421875,32768.0
121.522,141.087,98.0,2185.7734375,32768.0
121.997,145.081,98.0,2235.10546875,32768.0
122.507,144.098,98.0,1855.20703125,32768.0
122.932,134.003,99.0,1867.2109375,32768.0
123.338,137.069,99.0,1879.19921875,32768.0
123.827,143.007,99.0,1891.1953125,32768.0
124.314,147.013,99.0,1903.19140625,32768.0
124.831,148.071,99.0,1901.6875,32768.0
125.35,150.009,99.0,1913.68359375,32768.0
125.791,148.064,99.0,1975.6171875,32768.0
126.306,146.044,99.0,1985.6171875,32768.0
126.742,145.055,99.0,2006.7421875,32768.0
127.141,141.082,99.0,2014.7421875,32768.0
127.558,133.075,99.0,2026.7421875,32768.0
127.948,131.066,99.0,2038.75,32768.0
128.355,126.036,99.0,2046.75,32768.0
128.772,122.014,99.0,2050.7109375,32768.0
129.15,117.088,99.0,2058.7109375,32768.0
129.524,114.068,99.0,2065.1875,32768.0
129.907,112.031,99.0,2073.1953125,32768.0
130.281,116.048,100.0,2084.93359375,32768.0
130.672,120.075,100.0,2091.0,32768.0
131.057,123.027,100.0,2103.0625,32768.0
131.452,125.07,100.0,2115.05859375,32768.0
131.817,123.018,100.0,2128.07421875,32768.0
132.212,123.062,100.0,2136.06640625,32768.0
132.587,125.025,100.0,2138.9375,32768.0
132.973,126.093,100.0,2142.9765625,32768.0
133.351,127.058,100.0,2156.4921875,32768.0
133.721,125.0,100.0,2164.4921875,32768.0
134.103,123.098,100.0,2172.47265625,32768.0
134.49,126.055,100.0,2149.09375,32768.0
134.907,127.037,100.0,2161.09765625,32768.0
135.296,128.026,100.0,2164.03125,32768.0
135.695,135.035,100.0,2172.03515625,32768.0
136.079,135.013,100.0,2184.015625,32768.0
136.451,130.004,99.0,2193.96875,32768.0
136.865,128.052,99.0,2205.9453125,32768.0
137.257,124.042,99.0,1993.9296875,32768.0
137.633,125.035,99.0,1698.01171875,32768.0
138.024,125.062,99.0,1710.01171875,32768.0
138.398,127.065,99.0,1722.0078125,32768.0
138.798,127.067,99.0,1733.98828125,32768.0
139.216,127.02,100.0,1746.0,32768.0
139.62,124.008,100.0,1753.99609375,32768.0
140.001,128.046,100.0,1766.0078125,32768.0
140.448,129.055,99.0,1777.9921875,32768.0
140.883,128.079,99.0,1789.99609375,32768.0
141.353,125.098,100.0,1805.9921875,32768.0
141.949,121.001,99.0,1817.9921875,32768.0
142.336,118.086,99.0,1809.7421875,32768.0
142.714,120.003,98.0,1817.75,32768.0
143.109,125.08,99.0,1829.74609375,32768.0
143.525,128.056,99.0,1907.91015625,32768.0
143.967,126.093,99.0,1915.921875,32768.0
144.349,130.09,99.0,1927.90625,32768.0
144.777,131.086,99.0,1939.91796875,32768.0
145.19,129.05,99.0,1947.90625,32768.0
145.579,122.031,100.0,1994.6015625,32768.0
145.96,117.04,99.0,2002.60546875,32768.0
146.329,114.034,99.0,2014.59765625,32768.0
146.711,112.054,99.0,2018.59375,32768.0
147.106,111.061,99.0,2059.36328125,32768.0
147.503,118.064,99.0,2073.3203125,32768.0
148.006,129.021,99.0,2081.3203125,32768.0
148.535,134.078,99.0,2093.3125,32768.0
149.038,139.033,99.0,2105.3125,32768.0
149.557,142.022,99.0,2073.6875,32768.0
150.067,143.027,99.0,2089.6796875,32768.0
150.617,143.052,99.0,2091.15234375,32768.0
151.058,143.016,99.0,2103.16015625,32768.0
151.56,143.036,99.0,2115.15234375,32768.0
151.976,144.016,99.0,2115.8515625,32768.0
152.492,144.047,99.0,1739.91015625,32768.0
152.89,144.061,99.0,1751.921875,32768.0
153.388,144.09,99.0,1763.90625,32768.0
153.831,143.098,99.0,1771.921875,32768.0
154.305,144.012,99.0,1782.0,32768.0
154.814,143.031,99.0,1789.953125,32768.0
155.225,143.042,99.0,1801.9765625,32768.0
155.658,144.035,99.0,1810.015625,32768.0
156.151,144.052,99.0,1822.01171875,32768.0
156.563,144.064,99.0,1821.98828125,32768.0
157.05,143.024,99.0,1833.98828125,32768.0
157.568,144.018,99.0,1845.98828125,32768.0
158.106,144.065,99.0,1861.98828125,32768.0
158.605,144.089,99.0,1873.984375,32768.0
159.118,146.037,98.0,1871.421875,32768.0
159.534,146.042,96.0,1883.421875,32768.0
160.026,146.001,97.0,1895.421875,32768.0
160.449,145.007,98.0,1907.421875,32768.0
160.963,145.087,97.0,1923.4140625,32768.0
161.585,146.019,98.0,1891.78515625,32768.0
162.077,145.068,98.0,1944.57421875,32768.0
162.579,145.003,99.0,1962.12109375,32768.0
163.161,145.029,99.0,1974.12109375,32768.0
163.622,145.063,98.0,1986.12109375,32768.0
164.223,144.046,98.0,1998.18359375,32768.0
164.666,144.072,99.0,2000.16796875,32768.0
165.191,144.086,99.0,2012.109375,32768.0
165.62,143.044,99.0,2020.10546875,32768.0
166.032,141.016,99.0,2032.109375,32768.0
166.428,137.055,99.0,2040.1015625,32768.0
166.825,135.014,99.0,2045.5390625,32768.0
167.225,130.07,99.0,2053.5546875,32768.0
167.605,126.014,99.0,1473.6328125,32768.0
167.983,120.071,99.0,1481.640625,32768.0
168.366,122.021,100.0,1493.62890625,32768.0
168.769,127.07,99.0,1501.63671875,32768.0
169.163,121.037,99.0,1513.62890625,32768.0
169.55,128.082,99.0,1525.62890625,32768.0
170.043,135.059,99.0,1537.6328125,32768.0
170.524,139.004,99.0,1549.625,32768.0
171.076,141.095,99.0,1597.328125,32768.0
171.576,145.032,99.0,1642.08984375,32768.0
172.07,147.044,99.0,1654.08984375,32768.0
172.535,148.05,98.0,1662.07421875,32768.0
173.036,148.031,99.0,1674.07421875,32768.0
173.488,148.076,99.0,1678.05859375,32768.0
173.977,148.081,99.0,1697.54296875,32768.0
174.463,148.092,99.0,1709.53515625,32768.0
174.933,148.069,99.0,1717.546875,32768.0
