phase,window_max,work_units,rep,witness_s,prove_s,total_s,gnark_prove_ms,solo,loadavg,gpu_pct,image_digest,input_sha256,proof_sha256,timestamp
coarse,8,10240,1,1.672893981,7.402085029,7.412726670,5225.833466,true,0.26,0,sha256:0c39c4c8fff2503f778b3d5bb9669a4928e479b596a3d2862585303471f19b51,b5da3c426f08a628d5d19c56eb405bc4858a22df052bf9d74424c37c14bd4a92,247debbd32de68d75c9aecf69632203e611d0c2288f9287c6f69cbaaea581555,2026-07-31T01:26:58Z
confirm,8,10240,1,1.682407005,7.421678762,7.432178086,5225.7238,true,0.31,0,sha256:0c39c4c8fff2503f778b3d5bb9669a4928e479b596a3d2862585303471f19b51,b5da3c426f08a628d5d19c56eb405bc4858a22df052bf9d74424c37c14bd4a92,9600fb64f92500e0c189bc2709dc5ee421bc4d3c08fd7e7e2ebf3e916b6aa64d,2026-07-31T01:27:16Z
confirm,8,10240,2,1.680617908,7.336591030,7.347612633,5149.094363,true,0.31,0,sha256:0c39c4c8fff2503f778b3d5bb9669a4928e479b596a3d2862585303471f19b51,b5da3c426f08a628d5d19c56eb405bc4858a22df052bf9d74424c37c14bd4a92,c62e3eb09467997b6d0d04ae64c3ef992ae3886775f6b43945bb3c363538adfc,2026-07-31T01:27:33Z
confirm,8,10240,3,1.682719190,7.403325045,7.414046056,5205.560759,true,0.42,0,sha256:0c39c4c8fff2503f778b3d5bb9669a4928e479b596a3d2862585303471f19b51,b5da3c426f08a628d5d19c56eb405bc4858a22df052bf9d74424c37c14bd4a92,a219ad240d17f07389c104ae835cf160553fb8fb071301c05944a21531293a09,2026-07-31T01:27:51Z
confirm,8,10240,4,1.692173885,7.433830166,7.444494549,5217.725056,true,0.39,0,sha256:0c39c4c8fff2503f778b3d5bb9669a4928e479b596a3d2862585303471f19b51,b5da3c426f08a628d5d19c56eb405bc4858a22df052bf9d74424c37c14bd4a92,a44013a23cdd4dc7049b18e91853492edf74b9f9287f8a3adbaeb33ac68198c8,2026-07-31T01:28:09Z
confirm,8,10240,5,1.707628995,7.447873246,7.458894850,5221.688501,true,0.54,0,sha256:0c39c4c8fff2503f778b3d5bb9669a4928e479b596a3d2862585303471f19b51,b5da3c426f08a628d5d19c56eb405bc4858a22df052bf9d74424c37c14bd4a92,96f020e7209d2fad468eee834b44c7a23e039fb76ad43bc61fabd1fd738528c6,2026-07-31T01:28:27Z
